,date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,label
1,2018-05-03,27.65,27.66,27.33,26.56,542419.81,-0.35,-1.26,28.406,29.329,30.634,506299.12,404294.8,425264.66,0.56,0.015367727771679407
2,2018-05-02,28.4,28.66,27.68,27.63,397170.81,-0.72,-2.54,29.125999999999998,29.588,30.932,491781.59,375872.59,426778.27,0.41,0.012644508670520282
3,2018-04-27,28.66,28.75,28.4,27.42,381958.28,-0.1,-0.35,29.572,29.823,31.256,452690.27,388962.37,456904.77,0.39,0.0253521126760563
4,2018-04-26,30.3,30.3,28.5,28.26,812262.56,-1.62,-5.38,29.921999999999997,30.108,31.403000000000002,427257.7,385923.8,459143.3,0.84,0.0035087719298246113
5,2018-04-25,30.65,30.65,30.12,29.96,397684.16,-0.81,-2.62,30.268,30.443,31.529,316060.24,338219.54,447472.87,0.41,0.05378486055776895
6,2018-04-24,29.85,31.1,30.93,29.8,469832.12,1.02,3.41,30.252,30.691999999999997,31.539,302290.47,347044.17,444503.11,0.48,0.026188166828321976
7,2018-04-23,29.88,30.29,29.91,29.79,201714.23,-0.24,-0.8,30.05,30.816999999999997,31.546,259963.59,347775.5,446267.78,0.21,-0.03410230692076227
8,2018-04-20,30.18,30.5,30.15,29.92,254795.45,-0.08,-0.27,30.074,30.988000000000003,31.61,325234.47,375416.02,447971.42,0.26,0.007960199004975074
9,2018-04-19,30.33,30.53,30.23,30.03,256275.23,0.19,0.63,30.294,31.253,31.685,344589.89,408387.44,451817.93,0.26,0.0026463777704267893
10,2018-04-18,30.29,30.69,30.04,29.74,328835.31,0.12,0.4,30.618000000000002,31.594,31.741,360378.85,425954.49,453510.05,0.34,-0.006324900133155835
11,2018-04-17,30.16,30.55,29.92,29.6,258197.72,-0.11,-0.37,31.131999999999998,31.939,31.818,391797.87,446234.52,455416.66,0.27,-0.00401069518716569
12,2018-04-16,31.2,31.23,30.03,29.56,528068.62,-1.22,-3.9,31.584,32.275999999999996,31.953000000000003,435587.42,477683.95,459385.38,0.54,0.003663003663003644
13,2018-04-13,32.16,32.24,31.25,31.03,351572.59,-0.6,-1.88,31.901999999999997,32.689,32.085,425597.58,524847.17,445592.72,0.36,0.039039999999999964
14,2018-04-12,32.57,32.86,31.85,31.75,335220.0,-0.76,-2.33,32.211999999999996,32.696999999999996,32.157,472184.98,532362.8,443805.74,0.35,0.01883830455259031
15,2018-04-11,32.15,33.24,32.61,31.73,485930.44,0.43,1.34,32.57,32.614000000000004,32.189,491530.13,556726.2,438090.76,0.5,0.023305734437289116
16,2018-04-10,31.52,32.18,32.18,31.06,477145.44,0.56,1.77,32.746,32.385999999999996,32.189,500671.16,541962.05,444104.65,0.49,-0.01336233685518955
17,2018-04-09,32.7,32.76,31.62,30.96,478119.41,-1.18,-3.6,32.968,32.275,32.253,519780.49,544760.05,436502.5,0.49,-0.017710309930423742
18,2018-04-04,32.3,33.95,32.8,32.1,584509.62,-0.84,-2.5,33.476,32.231,32.354,624096.75,520526.81,430147.66,0.6,0.03597560975609745
19,2018-04-03,33.2,34.1,33.64,32.52,431945.72,0.15,0.45,33.181999999999995,32.117,32.359,592540.62,495248.43,420321.8,0.44,0.024970273483947782
20,2018-04-02,33.65,34.47,33.49,33.32,531635.62,0.2,0.6,32.658,31.886999999999997,32.361,621922.27,481065.62,427774.92,0.55,-0.004478948939982042
21,2018-03-30,33.7,33.99,33.29,33.17,572692.06,-0.87,-2.55,32.025999999999996,31.695999999999998,32.295,583252.94,464598.8,419860.86,0.59,-0.006007810153199245
22,2018-03-29,31.54,34.46,34.16,31.03,999700.75,2.83,9.03,31.581999999999997,31.63,32.245,569739.61,441086.81,407368.18,1.03,0.02546838407494138
23,2018-03-28,30.51,32.15,31.33,30.3,426728.97,0.31,1.0,30.986,31.48,32.157,416956.87,366338.27,374186.36,0.44,-0.09032875837855087
24,2018-03-27,30.89,31.87,31.02,30.71,578853.94,0.69,2.27,31.052,31.616999999999997,32.226,397956.23,355248.67,377850.13,0.6,-0.009993552546743995
25,2018-03-26,30.76,30.79,30.33,29.9,338288.97,-0.74,-2.38,31.116,31.763,32.319,340208.97,319455.32,374237.34,0.35,-0.02274975272007917
26,2018-03-23,30.02,31.07,31.07,29.21,505125.41,-0.11,-0.35,31.366,31.991999999999997,32.512,345944.67,346247.25,384355.64,0.52,0.02381718699710338
27,2018-03-22,31.8,31.88,31.18,31.04,235787.08,-0.48,-1.52,31.678,32.231,32.695,312434.02,328244.95,378326.32,0.24,0.0035279025016035736
28,2018-03-21,31.47,32.15,31.66,31.31,331725.75,0.32,1.02,31.974,32.477,32.821,315719.67,339768.5,381655.63,0.34,0.015161086544535705
29,2018-03-20,31.4,31.59,31.34,30.75,290117.62,-0.24,-0.76,32.181999999999995,32.601,32.896,312541.12,345395.18,378578.11,0.3,-0.010210593490746659
30,2018-03-19,32.57,32.58,31.58,31.52,366967.47,-1.05,-3.22,32.41,32.834,32.966,298701.68,374484.22,386805.64,0.38,0.007599746675110781
31,2018-03-16,32.58,33.35,32.63,32.5,337572.16,-0.03,-0.09,32.618,32.894,32.982,346549.83,375122.92,388839.98,0.35,0.0321789764020841
32,2018-03-15,32.5,33.1,32.66,32.41,252215.34,-0.04,-0.12,32.784,32.859,32.914,344055.88,373649.55,408208.62,0.26,0.0009185548071033078
33,2018-03-14,32.44,32.95,32.7,32.2,315833.0,0.22,0.68,32.98,32.834,32.918,363817.33,382034.44,424638.11,0.33,0.0012232415902142585
34,2018-03-13,32.59,32.84,32.48,32.37,220920.41,-0.14,-0.43,33.02,32.834,32.931999999999995,378249.24,400451.59,456452.94,0.23,-0.006773399014778509
35,2018-03-12,33.54,33.68,32.62,32.35,606208.25,-0.84,-2.51,33.258,32.876,33.099000000000004,450266.77,429019.37,480398.76,0.62,0.004291845493562249
36,2018-03-09,33.87,33.91,33.46,33.34,325102.41,-0.18,-0.54,33.17,33.032,33.318000000000005,403696.0,422464.04,477720.08,0.33,0.02510460251046035
37,2018-03-08,33.4,33.74,33.64,32.85,351022.56,0.74,2.25,32.934,33.158,33.514,403243.21,428407.69,491304.65,0.36,0.005350772889417352
38,2018-03-07,33.44,33.92,32.9,32.8,387992.56,-0.77,-2.29,32.688,33.164,33.707,400251.56,423542.76,505524.79,0.4,-0.022492401215805532
39,2018-03-06,32.35,33.71,33.67,32.01,581008.06,1.49,4.63,32.648,33.191,33.94,422653.94,411761.05,531032.55,0.6,0.02286902286902296
40,2018-03-05,32.49,33.15,32.18,32.07,373354.41,-0.1,-0.31,32.494,33.097,34.074,407771.96,399127.06,547393.87,0.38,-0.04630205096333132
41,2018-03-02,32.0,32.73,32.28,31.51,322838.47,-0.13,-0.4,32.894,33.069,34.394,441232.08,402557.05,558619.28,0.33,0.003097893432465967
42,2018-03-01,32.17,33.09,32.41,32.02,336064.31,-0.29,-0.89,33.382,32.968,34.782,453572.16,442767.69,562980.48,0.35,0.004011107682813806
43,2018-02-28,32.51,33.23,32.7,31.84,500004.47,-0.2,-0.61,33.64,33.001999999999995,35.171,446833.95,467241.77,578580.49,0.51,0.008868501529052178
44,2018-02-27,34.2,34.28,32.9,32.65,506598.16,-1.28,-3.75,33.734,33.03,35.593,400868.16,512454.29,580711.75,0.52,0.006079027355622971
